Clade name,Number of Extant Species
Agama_Clade,228
Pogona_Clade,82
Uromastyx,16
Chamaeleonidae,162
Crotaphytinae,10
Hoplocercinae,11
Phrynosomatinae,128
Tropidurinae,115
Corytophaninae,15
Iguaninae,36
Liolaeminae_Group,197
Oplurinae,7
Polychrotinae,370
Varanoidea,66
Elgaria_Clade,47
Anguis_Clade,69
Xenosauridae_Group,7
Gymnophthalmus_Clade,19
Cercosaura_Clade,59
Bachia,18
Leposoma_Group,69
Teiidae,122
Algyroides_Clade,32
Acanthodactylus_Clade,89
Lacerta_Group,123
Calyptotis_Clade,27
Lerista,81
Ctenotus,94
Brachymeles_Group,178
Emoia_Clade,199
Mabuya_Clade,134
Tiliqua_Clade,23
Sphenomorphus_Clade,184
Egernia,31
Scincella,28
Amphiglossus_Clade,56
Chalcides_Clade,55
Feylinia_Group,18
Scincus_Clade,10
Acontias_Clade,73
Cordylidae,55
Gerrhosauridae,33
Xantusiidae,24
Amphisbaenia,164
Serpentes,346
Diplodactylidae,123
Pygopodidae,37
Gekkonidae,827
Sphaerodactyidae,145
Eublepharidae,20
,
,
,
,
,
,
,
,
