Species,FDp1,HDp1,scHW,scBL,scBW,scHLW,scHLL,scFootL
Ablepharus_bivittatus,5,5,0.22441509,0.797362349,0.28922699,0.067580662,0.272483466,0.178486317
Ablepharus_deserti,5,5,0.223396383,0.795988022,0.239621724,0.075789888,0.262875608,0.127733553
Abronia_deppii,6,6,0.293264751,0.800754418,0.307807035,0.10915473,0.243566275,0.15878573
Abronia_montecristoi,6,6,0.235725476,0.803547336,0.285440101,0.103632213,0.26728576,0.170643638
Abronia_salvadorensis,6,6,0.255448342,0.856197743,0.302143236,0.131060131,0.281554215,0.175906608
Abronia_taeniata,6,6,0.257737667,0.80110399,0.291450609,0.099263665,0.291342032,0.192207736
Acanthocercus_yemenensis,6,6,0.336087226,0.776749057,0.412444902,0.15376287,0.433366748,0.245860205
Acanthodactylus_boskianus,6,6,0.206263672,0.708057011,0.205190825,0.126751213,0.395411176,0.283689005
Acanthodactylus_erythrurus,6,6,0.205918598,0.728515086,0.257689839,0.118515999,0.380386709,0.268044329
Acanthodactylus_micropholis,6,6,0.254271512,0.764134075,0.288616358,0.126637489,0.395872871,0.262013584
Acanthodactylus_pardalis,6,6,0.218104491,0.72206164,0.251946637,0.100312411,0.363109125,0.244289798
Acanthodactylus_robustus,6,6,0.233564672,0.718554856,0.268232745,0.124367744,0.319777367,0.168203592
Acanthodactylus_schmidti,6,6,0.207820342,0.715436208,0.285387159,0.092274344,0.371827534,0.243032613
Acanthodactylus_scutellatus,6,6,0.212097126,0.730904064,0.299276633,0.106391166,0.358094207,0.248649081
Acanthosaura_lepidogaster,6,6,0.258188112,0.747232167,0.290737675,0.125480165,0.426959162,0.264650381
Acontias_gracilicauda,1,1,0.211994174,1.154152639,0.199838801,0,0,0
Aeluroscalabotes_felinus,6,6,0.213688952,0.765045158,0.215117184,0.085030151,0.211283677,0.053973483
Afroedura_transvaalica,6,6,0.307561359,0.780341222,0.350124843,0.153335816,0.289627344,0.135751929
Agama_agama,6,6,0.259457607,0.725677338,0.352061675,0.124786092,0.367269773,0.222310794
