Species,Presacral
Ablepharus_bivittatus,30
Ablepharus_deserti,29
Ablepharus_kitaibelii,33
Abronia_deppii,29
Abronia_martindelcampi,28
Abronia_montecristoi,30
Abronia_salvadorensis,29
Abronia_taeniata,27
Acanthocercus_atricollis,23
Acanthocercus_yemenensis,24
Acanthodactylus_arabicus,24
Acanthodactylus_aureus,24
Acanthodactylus_bedriagae,26
Acanthodactylus_blanfordii,24
Acanthodactylus_boskianus,25
Acanthodactylus_cantoris,24
Acanthodactylus_erythrurus,25
Acanthodactylus_grandis,24
Acanthodactylus_haasi,24
Acanthodactylus_longipes,24
Acanthodactylus_maculatus,24
Acanthodactylus_micropholis,24
Acanthodactylus_pardalis,25
Acanthodactylus_robustus,26
Acanthodactylus_savignyi,25
Acanthodactylus_schmidti,25
Acanthodactylus_scutellatus,25
Acanthodactylus_spinicauda,24
Acanthodactylus_tristrami,26
Acanthosaura_armata,23
Acanthosaura_crucigera,23
Acanthosaura_lepidogaster,22
Acontias_breviceps,70
Acontias_gracilicauda,76
Acontias_litoralis,67
Acontias_meleagris,81
Acontias_percivali,78
Acontias_plumbeus,70
Acontophiops_lineatus,82
Adolfus_africanus,25
Adolfus_alleni,27
Adolfus_jacksoni,27
Adolfus_vauereselli,25
Aeluroscalabotes_felinus,27
Afroedura_transvaalica,27
Agama_aculeata,23
Agama_agama,22
Agama_doriae,22
Agama_impalearis,22
Agama_kirki,22
Agama_mossambica,22
Agamura_persica,24
Algyroides_fitzingeri,26
Algyroides_marchi,25
Algyroides_moreoticus,25
Algyroides_nigropunctatus,25
Alopoglossus_buckleyi,25
Alopoglossus_festae,26
Amblyrhynchus_cristatus,24
Ameiva_ameiva,26
Ameiva_auberi,26
Ameiva_bifrontata,26
Ameiva_chrysolaema,26
Ameiva_dorsalis,26
Ameiva_edracantha,26
Ameiva_exsul,26
Ameiva_griswoldi,26
Ameiva_leberi,25
Ameiva_leptophrys,26
Ameiva_lineolata,26
Ameiva_maynardi,26
Ameiva_pleei,26
Ameiva_quadrilineata,25
Ameiva_taeniura,26
Ameiva_undulata,25
Amphibolurus_burnsi,23
Amphibolurus_muricatus,23
Amphibolurus_nobbi,23
Amphiglossus_astrolabi,38
Amphiglossus_crenni,56
Amphiglossus_frontoparietalis,32
Amphiglossus_igneocaudatus,37
Amphiglossus_intermedius,31
Amphiglossus_macrocercus,40
Amphiglossus_melanopleura,30
Amphiglossus_melanurus,43
Amphiglossus_mouroundavae,30
Amphiglossus_nanus,33
Amphiglossus_ornaticeps,42
Amphiglossus_punctatus,32
Amphiglossus_reticulatus,37
Amphiglossus_splendidus,36
Amphiglossus_stumpffi,41
Amphiglossus_tanysoma,52
Amphiglossus_tsaratananensis,36
Amphisbaena_alba,108
Amphisbaena_barbouri,118
Amphisbaena_caeca,112
Amphisbaena_darwini,95
Amphisbaena_fuliginosa,98
Amphisbaena_manni,112
Amphisbaena_schmidti,102
Anadia_bitaeniata,27
Anadia_ocellata,29
Anguis_fragilis,64
Anniella_geronimensis,71
Anniella_pulchra,71
Anolis_acutus,23
Anolis_aeneus,22
Anolis_aequatorialis,22
Anolis_aliniger,22
Anolis_allisoni,22
Anolis_aquaticus,22
Anolis_argenteolus,23
Anolis_armouri,23
Anolis_auratus,23
Anolis_barahonae,23
Anolis_barbatus,24
Anolis_barbouri,22
Anolis_bimaculatus,23
Anolis_biporcatus,22
Anolis_bonairensis,22
Anolis_brevirostris,23
Anolis_capito,23
Anolis_carolinensis,22
Anolis_chamaeleonides,22
Anolis_chloris,23
Anolis_chlorocyanus,24
Anolis_coelestinus,23
Anolis_cristatellus,23
Anolis_cuvieri,24
Anolis_cybotes,23
Anolis_darlingtoni,23
Anolis_distichus,23
Anolis_equestris,23
Anolis_evermanni,24
Anolis_extremus,24
Anolis_fowleri,23
Anolis_frenatus,24
Anolis_garmani,23
Anolis_gingivinus,24
Anolis_grahami,24
Anolis_gundlachi,23
Anolis_heterodermus,22
Anolis_homolechis,24
Anolis_humilis,22
Anolis_krugi,23
Anolis_leachi,23
Anolis_lemurinus,24
Anolis_lineatopus,24
Anolis_lividus,24
Anolis_longitibialis,24
Anolis_luciae,23
Anolis_luteogularis,23
Anolis_marmoratus,24
Anolis_nicefori,22
Anolis_occultus,23
Anolis_oculatus,24
Anolis_onca,24
Anolis_opalinus,25
Anolis_pentaprion,24
Anolis_porcatus,24
Anolis_pulchellus,23
Anolis_punctatus,23
Anolis_richardii,24
Anolis_roquet,23
Anolis_sagrei,24
Anolis_smaragdinus,23
Anolis_stratulus,24
Anolis_trinitatis,24
Anolis_tropidogaster,24
Anolis_uniformis,23
Anolis_valencienni,24
Anolis_vermiculatus,24
Anolis_wattsi,24
Anomalopus_brevicollis,48
Anomalopus_gowi,55
Anomalopus_leuckartii,53
Anomalopus_mackayi,54
Anomalopus_pluto,61
Anomalopus_swansoni,58
Anomalopus_verreauxi,55
Aphaniotis_acutirostris,22
Aphaniotis_fusca,22
Aprasia_aurita,101
Aprasia_inaurita,105
Aprasia_pseudopulchella,120
Aprasia_pulchella,101
Aprasia_repens,110
Aprasia_smithi,105
Aprasia_striolata,106
Apterygodon_vittatus,27
Aristelliger_cochranae,26
Aristelliger_lar,26
Aristelliger_praesignis,26
Arthrosaura_kockii,25
Arthrosaura_reticulata,24
Bachia_barbouri,45
Bachia_bicolor,45
Bachia_bresslaui,45
Bachia_dorbignyi,48
Bachia_flavescens,47
Bachia_haullagana,47
Bachia_heteropa,36
Bachia_intermedia,44
Bachia_monodactylus,45
Bachia_trisanale,48
Barisia_imbricata,31
Basiliscus_basiliscus,24
Basiliscus_galeritus,24
Basiliscus_plumifrons,24
Basiliscus_vittatus,24
Bassiana_duperreyi,32
Bassiana_platynota,32
Bassiana_trilineata,32
Bavayia_cyclura,26
Bipes_biporus,119
Bipes_canaliculatus,103
Blanus_cinereus,117
Boa_constrictor,252
Brachylophus_vitiensis,22
Brachymeles_bonitae,52
Brachymeles_boulengeri,32
Brachymeles_gracilis,33
Brachymeles_pathfinderi,34
Brachymeles_samarensis,45
Brachymeles_schadenbergi,32
Brachymeles_talinis,32
Brachymeles_tridactylus,49
Bradypodion_fischeri,19
Bradypodion_pumilum,18
Bradypodion_ventrale,19
Bronchocela_cristatella,22
Bronchocela_hayeki,22
Bronchocela_jubatus,23
Bronchocela_marmoratus,22
Brookesia_stumpffi,17
Brookesia_superciliaris,14
Caimanops_amphiboluroides,23
Callisaurus_draconoides,22
Callopistes_maculatus,25
Calotes_calotes,22
Calotes_emma,22
Calotes_mystaceus,23
Calotes_versicolor,22
Calumma_brevicornis,18
Calumma_globifer,18
Calumma_nasuta,18
Calumma_parsonii,18
Calumma_tigris,18
Calyptommatus_leiolepis,44
Calyptommatus_nicterus,49
Calyptotis_lepidorostrum,29
Calyptotis_ruficauda,26
Calyptotis_scutirostrum,29
Calyptotis_temporalis,26
Calyptotis_thorntonensis,26
Carlia_ailanpalai,27
Carlia_aramia,27
Carlia_bicarinata,26
Carlia_fusca,27
Carlia_longipes,27
Carlia_luctuosa,27
Carlia_mundivensis,27
Carlia_mysi,27
Carlia_pectoralis,27
Carlia_storri,27
Carlia_tetradactyla,27
Carlia_tutela,27
Carlia_vivax,27
Carphodactylus_laevis,26
Cautula_zia,29
Celestus_badius,34
Celestus_barbouri,37
Celestus_costatus,35
Celestus_crusculus,36
Celestus_fowleri,34
Celestus_hewardii,34
Celestus_occiduus,34
Celestus_rozellae,35
Celestus_stenurus,34
Celestus_sternus,34
Ceratophora_aspera,19
Ceratophora_stoddartii,19
Ceratophora_tennentii,20
Cercosaura_argulus,26
Cercosaura_manicatus,27
Cercosaura_ocellata,25
Cercosaura_quadrilineata,25
Cercosaura_schreibersii,26
Cercosaura_vertebralis,26
Chalarodon_madagascariensis,23
Chalcides_armitagei,50
Chalcides_bedriagai,39
Chalcides_chalcides,56
Chalcides_colosii,38
Chalcides_ghiarai,38
Chalcides_guentheri,63
Chalcides_lanzai,39
Chalcides_levitoni,40
Chalcides_manueli,38
Chalcides_mauritanicus,51
Chalcides_minutus,58
Chalcides_mionecton,46
Chalcides_ocellatus,38
Chalcides_polylepis,38
Chalcides_pseudostriatus,62
Chalcides_pulchellus,41
Chalcides_ragazzi,37
Chalcides_sexlineatus,35
Chalcides_striatus,58
Chalcides_thierryi,44
Chalcides_viridanus,37
Chamaeleo_africanus,21
Chamaeleo_bitaeniatus,19
Chamaeleo_chamaeleon,20
Chamaeleo_dilepis,21
Chamaeleo_ellioti,19
Chamaeleo_fuellerorni,18
Chamaeleo_gracilis,21
Chamaeleo_hoehneli,19
Chamaeleo_jacksonii,19
Chamaeleo_melleri,21
Chamaeleo_senegalensis,21
Chamaesaura_anguina,37
Chamaesaura_macrolepis,38
Chelosania_brunnea,24
Chioninia_delalandii,26
Chioninia_fogoensis,27
Chioninia_spinalis,27
Chioninia_stangeri,27
Chioninia_vaillanti,26
Chlamydosaurus_kingii,22
Chondrodactylus_bibroni,26
Christinus_guentheri,27
Christinus_marmoratus,27
Cnemaspis_boulengerii,26
Cnemidophorus_communis,26
Cnemidophorus_costatus,26
Cnemidophorus_deppei,26
Cnemidophorus_exsanguis,26
Cnemidophorus_flagellicaudus,26
Cnemidophorus_gularis,26
Cnemidophorus_guttatus,26
Cnemidophorus_hyperythrus,26
Cnemidophorus_inornatus,25
Cnemidophorus_lemniscatus,26
Cnemidophorus_mexicanus,26
Cnemidophorus_neomexicanus,25
Cnemidophorus_sexlineatus,26
Cnemidophorus_tesselatus,26
Cnemidophorus_tigris,26
Cnemidophorus_velox,26
Coeranoscincus_frontalis,73
Coeranoscincus_reticulatum,54
Coleonyx_brevis,25
Coleonyx_elegans,25
Coleonyx_mitratus,25
Coleonyx_reticulatus,26
Coleonyx_variegatus,26
Colobodactylus_dalcyanus,30
Cophosaurus_texanus,22
Cophotis_ceylanica,20
Cordylosaurus_subtesselatus,28
Cordylus_caeruleopunctatus,25
Cordylus_cataphractus,23
Cordylus_cordylus,25
Cordylus_giganteus,25
Cordylus_macropholis,24
Cordylus_microlepidotus,26
Cordylus_namaquensis,26
Cordylus_niger,25
Cordylus_peersi,26
Cordylus_polyzonus,26
Cordylus_spinosus,24
Cordylus_tropidosternum,26
Cordylus_vittifer,25
Cordylus_warreni,26
Corucia_zebrata,26
Corytophanes_cristatus,24
Corytophanes_hernandezi,24
Corytophanes_percarinatus,23
Crenadactylus_ocellatus,26
Cricosaura_typica,26
Crocodilurus_amazonicus,25
Crotaphytus_collaris,24
Crotaphytus_dickersonae,24
Crotaphytus_insularis,23
Crotaphytus_reticulatus,23
Cryptoblepharus_boutonii,27
Cryptoblepharus_plagiocephalus,27
Cryptoblepharus_virgatus,27
Ctenophorus_caudicinctus,23
Ctenophorus_clayi,23
Ctenophorus_decresii,22
Ctenophorus_femoralis,23
Ctenophorus_fionni,21
Ctenophorus_gibba,22
Ctenophorus_isolepis,23
Ctenophorus_maculatus,21
Ctenophorus_nuchalis,23
Ctenophorus_ornatus,23
Ctenophorus_pictus,22
Ctenophorus_reticulatus,23
Ctenophorus_rufescens,23
Ctenophorus_salinarum,23
Ctenophorus_scutulatus,23
Ctenophorus_vadnappa,23
Ctenosaura_hemilopha,24
Ctenosaura_pectinata,24
Ctenosaura_quinquecarinata,24
Ctenosaura_similis,23
Ctenotus_australis,26
Ctenotus_brooksi,26
Ctenotus_essingtoni,26
Ctenotus_fallens,26
Ctenotus_grandis,26
Ctenotus_labillardieri,26
Ctenotus_pantherinus,26
Ctenotus_pulchellus,26
Ctenotus_robustus,26
Ctenotus_rubicundus,26
Ctenotus_schevilli,26
Ctenotus_taeniolatus,26
Ctenotus_youngsoni,26
Cyclodina_cuprea,29
Cyclodina_oliveri,29
Cyclodina_ornata,29
Cyclodomorphus_branchialis,42
Cyclodomorphus_casuarinae,41
Cyclodomorphus_maxima,42
Cyclura_nubila,24
Cyrtodactylus_annulatus,26
Cyrtodactylus_louisiadensis,26
Cyrtopodion_scaber,26
Darevskia_derjugini,26
Darevskia_praticola,27
Darevskia_rudis,27
Darevskia_saxicola,27
Dasia_grisea,26
Dasia_olivacea,26
Delma_australis,54
Delma_borea,55
Delma_concinna,46
Delma_elegans,58
Delma_fraseri,60
Delma_grayii,51
Delma_impar,55
Delma_inornata,56
Delma_molleri,54
Delma_nasuta,58
Delma_pax,58
Delma_plebeia,58
Delma_tincta,54
Delma_torquata,61
Dibamus_novaeguineae,118
Dicrodon_guttulatum,26
Dicrodon_heterolepis,26
Diplodactylus_alboguttatus,26
Diplodactylus_byrnei,26
Diplodactylus_conspicillatus,28
Diplodactylus_galeatus,26
Diplodactylus_granariensis,26
Diplodactylus_mitchelli,26
Diplodactylus_ornatus,26
Diplodactylus_polyophthalmus,26
Diplodactylus_pulcher,27
Diplodactylus_squarrosus,26
Diplodactylus_steindachneri,26
Diplodactylus_stenodactylus,26
Diplodactylus_tessellatus,26
Diplodactylus_vittatus,26
Diploglossus_bilobatus,33
Diploglossus_curtisi,37
Diploglossus_darlingtoni,33
Diploglossus_delasagra,45
Diploglossus_fasciatus,35
Diploglossus_lessonae,41
Diploglossus_millepunctatus,32
Diploglossus_pleei,42
Diplolaemus_bibroni,24
Diplolaemus_darwinii,25
Diplolaemus_leopardinus,24
Diporiphora_albilabris,21
Diporiphora_australis,22
Diporiphora_bilineata,21
Diporiphora_magna,23
Diporiphora_pindan,23
Dipsosaurus_dorsalis,24
Draco_bimaculatus,23
Draco_blanfordii,23
Draco_fimbriatus,24
Draco_guentheri,23
Draco_haematopogon,23
Draco_jareckii,22
Draco_maculatus,23
Draco_maximus,24
Draco_melanopogon,23
Draco_obscurus,23
Draco_ornatus,23
Draco_quinquefasciatus,23
Draco_spilopterus,23
Draco_sumatranus,23
Draco_volans,23
Echinosaura_horrida,26
Echinosaura_panamensis,24
Egernia_coventryi,29
Egernia_cunninghami,26
Egernia_depressa,26
Egernia_formosa,26
Egernia_frerei,26
Egernia_hosmeri,26
Egernia_inornata,26
Egernia_kingii,26
Egernia_kintorei,26
Egernia_luctuosa,26
Egernia_major,26
Egernia_margaretae,26
Egernia_mcpheei,26
Egernia_modesta,26
Egernia_multiscutata,26
Egernia_napoleonis,26
Egernia_pilbarensis,26
Egernia_pulchra,26
Egernia_richardi,26
Egernia_rugosa,26
Egernia_saxatilis,26
Egernia_slateri,26
Egernia_stokesii,27
Egernia_striata,26
Egernia_striolata,26
Elasmodactylus_tuberculosus,26
Elgaria_coerulea,30
Elgaria_kingii,31
Elgaria_multicarinata,30
